graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S3,1.0,0.3,IPW-assign,0.0,-0.5959165429666963,0.1522752264378858,0.6150644444024446,1000
synthetic,S3,1.0,0.3,IPW-alloc,0.0,-0.021406920500672433,1.8235148067643483,1.8236404543478795,1000
synthetic,S3,1.0,0.4,EARL,0.0,-1.7131252527275864,0.25895184454235154,1.7325859832414792,1000
synthetic,S3,1.0,0.4,EARL-centred,0.0,-0.5311537455971101,2.171909489660511,2.235914831280302,1000
synthetic,S3,1.0,0.4,ERL-drop,0.0,-0.6852501010910347,0.10358073781694063,0.6930343932965918,1000
synthetic,S3,1.0,0.4,IPW-assign,0.0,-0.6818930501177295,0.1533779722471134,0.6989298492477601,1000
synthetic,S3,1.0,0.4,IPW-alloc,0.0,-0.11234544927281893,5.8789062456816135,5.879979604172671,1000
synthetic,S3,1.0,0.5,EARL,0.0,-1.44089542740827,0.2922914270271596,1.4702428068314546,1000
synthetic,S3,1.0,0.5,EARL-centred,0.0,0.03734854702441464,1.9832498199586561,1.983601462575302,1000
synthetic,S3,1.0,0.5,ERL-drop,0.0,-0.720447713704135,0.1461457135135798,0.7351214034157273,1000
synthetic,S3,1.0,0.5,IPW-assign,0.0,-0.713314518017851,0.19224546847293456,0.738766486627146,1000
synthetic,S3,1.0,0.5,IPW-alloc,0.0,0.06573091727702286,2.059067573324934,2.060116459087765,1000
synthetic,S3,1.0,0.6,EARL,0.0,-1.1213669903854455,0.38476482915758997,1.1855411848108783,1000
